time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_Sedan_Winter_Test1,Speed_Sedan_Winter_Test2,Speed_Sedan_Winter_Test3,Speed_Sedan_Winter_Test4,Speed_Sedan_Winter_Test5,Speed_Sedan_AllSeason_Test1,Speed_Sedan_AllSeason_Test2,Speed_Sedan_AllSeason_Test3,Speed_Sedan_AllSeason_Test4,Speed_Sedan_AllSeason_Test5,Speed_Sedan_Summer_Test1,Speed_Sedan_Summer_Test2,Speed_Sedan_Summer_Test3,Speed_Sedan_Summer_Test4,Speed_Sedan_Summer_Test5,Speed_SUV_Winter_Test1,Speed_SUV_Winter_Test2,Speed_SUV_Winter_Test3,Speed_SUV_Winter_Test4,Speed_SUV_Winter_Test5,Speed_SUV_AllSeason_Test1,Speed_SUV_AllSeason_Test2,Speed_SUV_AllSeason_Test3,Speed_SUV_AllSeason_Test4,Speed_SUV_AllSeason_Test5,Speed_SUV_Summer_Test1,Speed_SUV_Summer_Test2,Speed_SUV_Summer_Test3,Speed_SUV_Summer_Test4,Speed_SUV_Summer_Test5
23.01,24.056,23.758,25.011,24.698,25.88,24.741,24.276,24.21,23.72,24.496,23.906,24.082,24.491,23.878,23.879,25.055,24.502,24.676,25.584,24.834,25.129,24.476,24.036,24.373,25.084,24.937,25.756,24.623,23.969,25.245,23.039,24.175,24.01,22.158,23.732,23.829,23.717,25.061,24.121,23.624,24.438,23.358,25.001,24.282,24.476
23.02,24.265,24.367,24.338,24.955,24.327,24.799,25.339,24.96,25.161,25.165,25.254,24.828,24.877,25.228,25.276,25.186,25.117,24.412,25.653,23.953,25.123,24.776,25.137,24.77,25.386,24.571,24.273,24.074,24.857,24.675,23.008,22.956,23.509,22.803,22.785,22.888,23.693,24.019,24.092,24.313,23.915,24.352,24.491,23.877,24.38
23.03,24.454,25.057,24.754,23.933,25.609,24.353,24.548,24.221,25.123,25.153,24.589,23.831,25.51,24.707,24.028,23.591,24.451,25.546,25.808,23.54,24.918,24.035,24.257,25.036,25.254,24.837,24.277,25.293,25.19,24.638,22.864,23.053,23.489,22.504,23.224,23.42,24.583,24.346,25.343,25.059,24.471,22.555,24.834,23.264,22.602
23.04,24.113,23.904,24.682,NaN,25.021,25.725,25.276,24.431,24.736,23.692,25.584,NaN,24.13,24.985,23.65,24.604,25.189,25.544,25.04,24.622,25.196,24.679,25.101,24.72,25.336,24.612,25.659,25.252,25.519,24.464,24.075,23.679,23.135,22.217,23.572,23.562,23.236,24.723,24.47,24.753,24.645,24.985,25.313,23.507,23.647
23.05,23.314,24.796,24.786,24.279,25.786,25.006,24.983,24.93,24.544,24.792,23.112,25.077,23.997,24.794,24.746,24.43,24.868,25.43,24.697,25.182,25.739,24.093,24.681,24.143,24.258,24.507,24.557,25.152,24.081,24.318,23.344,24.681,24.009,22.679,22.708,24.709,23.507,24.236,23.505,23.434,24.034,24.013,23.923,24.474,25.266
23.06,24.734,24.698,23.451,24.73,24.329,25.31,25.041,25.635,25.978,25.104,23.578,24.123,24.112,24.596,23.993,24.964,24.505,24.169,25.436,23.731,25.522,24.307,24.126,24.51,25.11,23.452,24.223,25.264,24.631,23.184,23.91,22.915,23.536,22.255,24.01,22.988,23.521,23.366,24.286,25.584,24.787,23.82,23.847,22.796,24.098
23.07,24.303,25.614,23.802,25.287,25.889,24.703,25.736,24.291,24.564,NaN,24.672,25.252,25.636,24.709,25.757,25.273,24.814,24.986,NaN,24.544,25.994,24.904,25.889,25.033,25.891,25.208,24.884,25.079,25.004,23.926,23.881,23.55,24.313,21.992,22.951,24.207,22.224,24.28,23.901,23.833,24.009,23.871,23.975,24.464,22.893
23.08,24.479,25.318,24.43,25.279,25.389,24.793,25.304,24.424,25.219,24.289,24.545,23.983,25.099,24.809,25.299,23.708,25.151,25.539,24.598,24.352,25.49,24.777,24.95,23.894,24.857,25.057,25.249,25.537,24.046,24.235,22.321,22.849,23.713,22.46,23.42,23.504,24.949,22.952,NaN,25.019,24.653,23.727,23.69,23.454,24.018
23.09,24.972,25.064,24.637,24.842,26.576,25.923,24.817,24.54,24.436,23.408,24.523,25.803,25.226,25.127,24.74,24.825,25.905,25.487,25.406,24.33,25.309,24.66,26.747,25.131,23.75,25.562,24.87,25.166,24.997,25.855,22.842,24.121,23.96,21.886,22.194,23.742,23.64,23.615,24.529,23.961,24.27,24.08,23.285,25.408,23.621
23.1,24.024,25.038,25.579,24.87,25.35,25.243,24.629,23.405,24.219,25.697,24.434,24.779,24.813,25.164,25.37,25.321,26.18,25.234,24.575,24.822,25.728,23.886,25.486,24.749,25.726,25.074,24.807,24.749,25.063,24.77,23.045,23.26,23.412,22.21,22.984,24.474,24.137,23.876,24.184,24.682,24.85,24.549,23.899,24.168,23.522
23.11,24.933,24.028,23.59,25.899,24.631,26.079,25.908,24.561,23.935,25.028,24.73,24.59,24.779,25.937,25.552,25.077,25.167,25.515,25.066,24.533,26.05,24.746,24.863,24.714,25.083,23.614,25.783,25.579,25.039,25.042,23.393,24.23,24.374,21.57,23.995,24.461,23.355,24.772,24.278,24.052,NaN,23.79,23.983,23.284,24.38
23.12,25.107,24.502,25.054,NaN,26.008,25.934,25.381,24.025,24.493,24.921,24.91,25.17,24.955,24.471,23.623,25.561,24.112,25.1,24.861,23.635,25.624,25.495,24.758,24.95,25.588,24.42,25.59,23.655,24.726,24.94,24.039,24.636,NaN,22.945,24.184,23.146,23.778,23.117,23.718,22.898,23.292,23.799,24.273,22.959,24.747
23.13,23.553,25.514,23.522,26.059,25.732,25.5,24.997,24.928,24.25,24.684,25.15,24.677,24.291,24.539,25.313,24.953,24.456,24.795,25.593,24.778,25.478,23.896,24.818,23.963,24.723,23.527,25.644,25.165,24.933,25.297,22.668,23.203,23.632,21.667,23.604,24.132,22.724,23.47,23.984,23.783,24.514,24.254,23.807,NaN,24.555
23.14,24.291,24.56,24.065,24.517,24.53,24.601,25.302,24.509,24.689,23.575,24.965,24.893,NaN,24.675,24.743,25.459,25.167,24.128,24.651,24.83,24.161,25.098,25.037,23.466,26.113,25.496,25.572,24.678,24.051,25.227,23.539,22.839,24.709,22.1,22.055,24.255,23.803,23.227,24.143,23.543,24.99,23.5,23.901,22.936,22.938
23.15,23.47,25.221,25.055,24.321,25.24,24.986,24.776,24.359,24.473,24.494,24.008,24.502,23.965,23.341,23.139,24.715,24.128,24.121,25.286,NaN,24.876,24.499,25.697,24.261,25.324,24.161,25.634,26.009,25.45,24.994,23.246,23.954,24.456,21.414,22.229,24.564,22.859,23.855,24.098,24.001,22.449,24.695,23.736,24.487,23.986
23.16,25.465,25.934,24.892,24.549,25.798,25.592,25.842,25.294,25.536,25.31,24.986,25.382,25.334,24.977,24.059,25.31,25.637,24.865,NaN,25.092,24.464,24.686,24.98,24.588,26.046,24.881,25.5,24.652,23.952,24.543,22.379,23.973,23.917,21.695,23.541,23.883,23.14,25.022,24.213,24.183,24.682,23.934,25.145,23.168,23.957
23.17,24.709,24.131,24.763,24.091,24.171,25.202,25.345,23.305,NaN,25.515,24.942,NaN,25.183,24.911,24.734,25.748,NaN,24.439,24.852,24.37,24.375,24.388,26.376,23.516,25.918,24.812,25.756,25.256,25.004,NaN,22.905,22.802,24.146,22.239,23.302,24.792,24.001,23.315,24.06,24.255,23.802,24.264,23.446,24.197,22.734
23.18,24.175,25.034,24.43,25.474,26.187,24.996,25.656,23.245,25.056,25.663,23.463,25.059,24.027,25.281,23.838,23.69,25.766,25.782,25.64,24.282,25.742,24.521,25.697,24.15,26.253,24.953,25.11,26.016,24.186,25.439,23.518,24.129,22.49,22.138,22.34,24.13,22.398,24.835,24.331,24.004,23.706,24.669,24.195,23.839,23.902
23.19,24.519,24.961,24.308,25.74,25.305,24.753,25.665,25.716,24.139,24.553,24.817,24.932,25.33,24.636,25.023,24.636,24.893,24.826,25.609,23.847,25.229,24.455,24.836,25.314,24.69,25.132,25.175,25.771,24.282,24.26,24.422,24.129,24.355,22.385,23.372,23.525,23.682,24.613,24.41,23.978,25.111,25.435,24.497,24.278,23.601
23.2,24.548,25.615,24.919,24.877,25.055,24.636,25.244,23.731,24.673,25.98,23.314,24.473,25.883,24.605,25.003,26.036,24.611,25.04,24.479,24.574,24.041,23.964,23.702,24.43,26.472,25.557,26.293,24.638,25.319,24.202,22.772,23.024,NaN,22.448,23.305,23.672,24.406,23.899,24.73,23.916,24.99,24.582,24.168,23.216,23.438
23.21,23.777,24.797,23.894,25.361,25.564,25.559,25.226,25.284,25.438,24.185,24.8,24.414,24.929,24.43,25.1,23.598,25.03,23.948,25.078,24.178,24.816,24.463,25.286,23.823,25.997,25.352,25.168,25.371,24.669,24.223,23.134,24.046,23.809,21.455,23.458,24.129,22.546,23.056,24.073,24.927,24.39,24.504,25.025,23.1,23.823
23.22,24.113,24.717,24.087,25.233,25.569,25.18,25.634,24.72,25.223,25.344,25.034,24.506,24.658,25.087,25.11,23.669,24.25,25.481,25.769,24.373,24.126,24.475,25.578,24.768,25.148,24.895,25.83,25.541,24.416,25.693,23.915,22.777,22.907,22.48,24.337,23.921,23.702,22.722,23.846,24.647,25.05,23.115,24.574,24.191,24.347
23.23,24.574,24.449,24.474,24.376,25.27,24.904,25.953,24.133,24.734,25.187,23.744,23.33,24.661,25.296,25.031,25.794,24.374,25.043,25.955,23.929,24.111,24.543,24.419,24.452,24.916,25.27,25.992,25.255,25.197,23.872,23.633,23.239,22.635,22.502,23.322,23.473,23.831,24.171,23.726,24.12,23.813,24.483,23.384,NaN,24.635
23.24,24.589,24.12,23.623,25.521,25.255,25.008,24.604,25.307,25.086,24.35,25.123,25.539,24.241,23.364,24.46,25.098,24.654,25.578,25.014,24.68,24.98,24.943,25.053,24.367,25.465,24.735,24.762,25.9,24.959,24.344,23.558,24.413,23.392,21.731,23.23,23.752,24.052,22.957,24.077,25.278,24.146,25.167,24.263,23.738,24.609
23.25,24.218,25.434,24.246,23.744,25.231,25.233,24.899,25.512,24.278,25.44,24.024,25.441,23.846,24.746,24.478,24.355,24.243,25.671,25.59,23.71,24.553,24.755,26.099,25.099,26.459,24.894,25.052,24.347,24.796,23.732,24.174,24.149,22.809,20.911,23.64,24.248,23.339,24.538,23.385,23.442,24.743,23.724,23.192,22.884,24.013
23.26,24.613,24.877,24.746,23.8,24.47,25.199,25.838,24.135,24.672,23.754,24.094,23.551,24.64,25.147,24.766,24.762,24.195,25.044,25.863,23.939,24.222,24.692,24.395,24.253,25.504,25.698,25.133,24.648,24.207,25.18,21.878,22.795,23.885,22.164,22.389,25.06,22.915,24.666,23.851,24.147,23.95,24.594,24.157,24.355,23.901
23.27,24.984,25.141,25.159,23.278,24.889,25.749,25.671,25.715,24.751,23.659,23.871,25.024,24.472,25.049,25.078,24.502,24.561,25.254,24.088,24.67,24.028,24.867,24.88,24.253,25.366,24.709,25.577,25.673,24.954,24.762,24.334,23.833,24.696,22.139,22.229,24.452,22.715,23.714,24.435,24.631,23.686,24.411,25.627,24.269,24.937
23.28,23.83,25.553,25.797,24.362,24.513,24.335,25.601,24.822,25.392,24.568,25.864,24.718,24.205,24.574,23.431,25.345,25.596,24.781,25.204,24.951,26.549,23.724,25.295,23.202,26,25.111,26.627,26.353,24.998,24.454,24.265,23.133,23.471,22.124,23.935,24.047,22.467,24.236,24.595,24.488,24.326,24.649,23.809,23.034,23.964
23.29,24.878,25.948,24.477,24.196,25.68,24.434,NaN,23.578,24.962,23.966,24.954,24.278,25.28,25.016,25.514,24.861,24.746,25.393,24.551,24.423,24.632,23.949,25.885,23.968,25.516,25.719,24.86,24.792,25.044,24.959,22.797,24.391,24.406,22.225,23.647,24.382,23.623,24.88,24.623,23.247,23.979,23.607,24.619,25.041,24.249
23.3,24.54,24.935,24.448,25.09,25.76,25.517,24.231,24.872,23.212,24.556,22.765,23.965,24.801,25.049,24.641,23.72,24.862,25.001,26.077,24.822,24.827,23.651,24.486,23.636,25.058,24.656,25.078,23.954,23.989,24.856,24.095,24.115,22.609,22.542,24.184,25.332,23.899,22.997,24.653,25.004,24.958,23.21,NaN,24.003,23.57
23.31,25.582,24.427,25.294,24.823,25.308,25.189,26.025,25.223,23.918,25.15,24.764,24.801,23.698,24.778,24.537,NaN,24.764,24.84,25.582,23.543,23.906,24.772,25.15,23.443,25.224,25.146,25.668,24.797,24.454,23.734,23.903,23.976,23.869,21.398,22.599,24.088,22.383,25.148,23.704,23.714,24.29,23.739,24.847,24.458,24.538
23.32,24.434,24.532,24.41,24.332,24.886,25.237,25.368,25.615,23.787,24.981,25.027,24.671,24.984,25.166,23.822,24.592,25.105,25.959,24.951,24.376,25.739,22.657,25.493,24.126,25.28,24.967,25.673,25.55,23.944,25.355,22.487,23.987,23.627,22.867,23.936,24.454,23.209,23.884,23.111,23.136,23.49,24.184,25.034,24.198,23.973
23.33,24.991,25.752,24.389,24.847,25.879,24.912,25.939,23.939,25.459,25.24,24.155,25.607,25.423,25.54,25.664,23.939,24.251,24.449,24.598,24.516,24.597,24.673,25.392,24.898,25.676,24.718,25.387,24.729,25.549,NaN,22.973,23.082,24.138,21.955,23.283,23.916,24.054,24.328,23.793,24.25,24.146,24.375,24.906,23.554,24.339
23.34,NaN,25.467,24.873,25.109,24.008,24.077,24.817,24.488,24.213,24.215,24.589,25.003,24.351,24.581,25.734,25.355,25.592,25.509,NaN,25.264,25.221,23.865,25.751,24.912,23.898,25.327,25.714,25.389,25.567,NaN,23.898,23.943,23.978,22.839,23.724,24.621,22.176,23.906,23.248,24.729,24.733,24.443,24.967,23.925,24.656
23.35,24.66,25.501,25.349,23.996,25.167,24.59,25.441,24.648,25.007,25.21,23.765,25.471,25.559,25.543,24.741,24.95,25.454,25.664,24.441,24.086,25.809,24.383,25.599,25.478,24.663,25.355,26.156,25.174,24.7,25.928,24.198,22.988,23.012,22.54,24.068,24.917,23.708,24.206,23.6,23.8,23.633,24.409,24.151,24.193,23.013
23.36,25.221,26.228,24.787,24.898,25.763,24.021,26.282,23.879,24.069,23.575,24.249,24.959,24.493,23.643,24.823,25.125,24.869,25.169,24.736,24.491,25.025,24.964,24.095,24.17,25.861,24.788,25.286,25.426,24.844,25.259,22.78,22.711,NaN,22.413,23.446,24.953,23.59,24.29,24.694,23.06,24.035,23.463,NaN,22.736,22.27
23.37,25.068,24.19,25.49,24.872,25.423,25.484,25.497,24.082,25.216,23.859,24.175,24.42,25.543,24.2,24.66,25.276,24.022,25.482,25.239,23.399,25.841,24.086,25.22,24.594,25.311,24.833,25.635,25.487,24.723,25.065,24.653,22.831,23.055,21.853,24.244,24.715,23.775,24.409,24.073,23.483,23.943,24.442,24.721,23.759,23.899
23.38,23.756,24.006,24.536,25.652,24.567,25.153,25.223,25.396,25.67,23.976,23.313,NaN,25.326,25.234,24.23,26.002,24.989,23.933,23.57,25.364,25.566,24.015,25.734,24.405,24.254,25.218,25.347,24.906,24.725,24.406,23.098,23.967,23.374,23.275,23.093,24.532,22.702,24.461,23.8,23.168,23.847,23.526,23.481,24.53,23.735
23.39,24.487,25.115,25.237,24.895,25.878,24.219,25.071,NaN,24.703,23.775,23.737,25.746,25.031,NaN,25.45,24.98,25.316,25.609,24.419,24.259,25.564,24.546,24.72,23.404,24.236,23.7,25.387,25.009,24.162,25.279,22.483,23.928,24.002,21.239,22.686,24.885,23.78,23.364,24.056,24.519,24.07,24.492,24.828,22.553,23.664
23.4,24.881,24.864,24.052,25.149,26.761,25.725,25.341,24.908,25.566,24.476,24.332,24.146,24.253,23.999,24.418,24.838,25.13,25.522,NaN,25.043,26.22,24.029,25.29,25.31,25.134,25.07,24.258,24.825,24.219,25.377,23.489,24.051,22.548,22.077,22.772,23.127,23.445,23.094,24.156,24.905,24.231,NaN,24.64,24.462,24.812
23.41,24.903,26.513,24.644,25.046,24.639,25.197,26.053,23.764,24.586,24.954,23.976,24.563,25.032,24.565,24.254,24.558,24.915,25.106,26.058,25.106,25.907,24.977,25.754,24.4,25.169,24.823,24.196,23.895,23.703,24.106,24.733,23.4,23.117,21.7,22.935,24.967,23.23,24.135,23.648,22.92,23.792,24.266,24.797,22.316,24.26
23.42,24.653,25.501,24.978,25.049,26.326,25.185,24.715,23.551,26.249,24.039,23.769,24.479,24.216,23.876,25.86,25.157,24.404,24.239,24.643,24.466,26.305,23.889,25.357,23.732,25.359,24.973,24.903,25.122,24.835,24.288,23.648,23.725,23.991,22.167,22.683,23.934,22.871,24.474,22.947,25.086,24.327,24.328,23.894,24.17,23.757
23.43,NaN,25.383,23.821,24.578,23.859,25.467,25.002,23.397,24.549,25.421,24.68,23.716,24.483,25.167,23.823,25.515,25.211,25.435,24.64,24.097,24.993,25.137,25.655,24.457,25.374,25.155,26.12,25.907,25.028,24.587,23.398,24.292,23.68,23.14,24.514,23.829,23.626,25.265,23.843,24.566,24.488,23.513,23.985,22.292,24.565
23.44,24.1,25.394,23.952,24.39,25.728,24.355,24.959,24.801,24.748,24.998,24.842,25.494,23.562,25.345,25.102,24.071,25.401,25.327,25.057,24.909,26.077,24.261,25.319,23.146,24.653,24.929,25.281,25.179,23.77,24.157,23.795,23.054,23.757,21.789,23.184,24.143,23.576,24.175,24.871,23.647,24.677,24.297,24.468,23.467,23.463
23.45,24.832,24.769,25.947,25.799,23.956,24.6,26.421,24.97,24.814,25.057,23.421,24.967,24.822,25.271,NaN,25.273,24.389,25.466,25.329,24.835,24.706,23.874,25.901,23.827,24.717,26.131,23.653,25.769,24.089,25.034,23.623,24.238,23.443,21.502,23.789,23.355,22.41,23.726,23.969,23.469,24.116,24.198,24.848,24.528,23.956
23.46,24.996,25.611,24.831,25.404,24.722,25.251,25.161,25.659,24.602,24.985,24.109,25.562,25.109,25.028,24.306,NaN,25.057,24.21,25.394,24.789,25.287,25.16,26.114,25.039,23.904,25.016,25.245,24.896,26.161,24.839,24.519,23.861,23.903,22.609,23.463,24.412,22.672,23.86,24.067,24.132,23.813,24.617,24.918,24.463,24.159
23.47,24.126,24.406,23.97,NaN,26.403,25.515,25.175,25.805,24.637,25.302,24.534,24.379,25.16,24.569,25.136,NaN,25.343,25.062,24.329,23.982,24.992,24.632,25.853,24.403,25.227,25.425,25.138,24.556,24.33,24.605,24.449,23.962,24.383,21.926,22.784,25.31,23.733,23.533,24.067,23.909,24.375,24.008,23.563,23.883,23.202
23.48,24.536,25.458,25.743,24.353,26.066,26.335,24.742,25.575,NaN,24.471,24.848,24.683,25.391,24.859,25.367,24.6,24.584,24.944,25.044,24.784,25.476,23.804,24.294,24.589,24.603,23.901,25.262,24.561,23.943,25.851,22.909,23.756,23.044,23.146,22.772,24.84,23.707,24.049,24.277,24.642,24.275,24.019,23.836,23.714,23.903
23.49,24.835,24.73,24.964,25.434,25.612,25.42,25.439,25.025,24.231,25.163,25.242,24.625,25.246,25.231,24.352,25.515,24.909,24.356,25.174,25.698,25.821,24.038,25.218,24.843,25.59,24.822,26.136,25.319,24.138,24.882,23.975,23.643,23.404,22.56,23.482,24.056,23.081,22.526,23.84,24.509,24.413,24.575,25.04,24.319,23.644
23.5,24.871,24.377,23.908,24.209,25.322,25.041,26.012,24.253,25.67,24.816,25.539,24.412,24.198,25.61,23.242,24.752,25.565,25.338,NaN,24.718,26.165,24.572,26.517,23.703,25.779,24.44,25.455,25.491,25.832,25.553,23.121,22.885,23.781,21.073,21.921,24.406,22.913,23.686,24.132,24.578,24.441,24.79,NaN,23.89,23.33
23.51,NaN,24.786,24.41,24.874,25.728,24.553,24.917,24.799,24.54,24.654,24.456,24.231,23.956,24.493,23.661,24.571,24.816,25.449,24.422,25.207,24.506,23.498,24.495,24.991,25.061,25.099,24.607,25.24,23.684,24.28,24.326,24.348,23.737,23.237,23.582,23.032,23.446,24.177,23.961,24.525,24.483,24.002,23.487,23.84,24.474
23.52,24.792,24.948,25.204,25.411,26.06,24.099,23.789,NaN,24.877,23.654,24.944,23.633,25.006,24.15,25.398,24.688,25.105,25.352,25.242,24.04,24.273,25.019,24.416,23.262,24.305,23.192,25.298,24.143,25.347,25.06,24.154,23.604,24.083,20.73,23.021,23.955,23.609,23.652,24.188,25.454,24.447,23.824,23.346,22.459,23.655
23.53,25.172,24.776,24.023,24.418,26.38,24.593,26.382,24.365,24.785,24.789,24.266,24.984,25.646,25.525,25.514,25.99,25.793,24.349,NaN,23.713,24.715,NaN,26.388,24.752,25.952,23.704,25.715,25.32,23.836,24.103,23.356,22.245,23.155,21.641,23.947,23.743,23.738,23.952,24.005,24.679,23.782,25.129,24.793,24.43,24.47
23.54,23.954,24.991,24.361,25.158,25.461,25.342,25.917,24.327,25.063,24.668,24.966,24.579,24.723,24.519,24.945,25.155,26.043,25.014,25.699,25.407,25.627,24.238,25.855,24.457,24.135,24.537,25.687,25.433,24.785,24.534,23.46,23.88,23.557,22.21,22.992,24.57,21.66,23.899,23.376,23.585,24.531,24.741,23.97,NaN,24.23
23.55,24.109,25.041,24.89,25.21,26.317,24.782,24.745,23.371,25.332,24.124,24.439,24.622,23.766,24.211,25.293,25.356,25.021,25.212,24.296,24.009,25.567,25.177,25.866,23.302,25.067,25.019,24.943,25.814,24.994,24.043,24.403,23.638,22.915,23.137,22.042,24.608,23.089,23.425,23.948,24.257,23.103,24.826,23.463,23.859,24.141
23.56,24.941,24.169,24.663,24.823,26.26,NaN,26.118,24.219,25.323,25.193,24.176,24.492,25.352,24.597,23.189,24.685,26.055,25.234,24.799,24.106,24.927,24.476,24.177,23.557,25.454,25.131,24.495,23.88,25.425,24.095,22.666,23.829,NaN,22.066,22.75,24.365,24.172,23.569,23.755,24.163,23.905,23.173,22.938,22.605,23.734
23.57,25.054,24.516,23.985,25.206,25.063,25.572,26.315,25.073,25.362,24.79,24.696,25.494,24.134,23.717,24.095,25.236,25.561,25.251,25.172,24.425,25.039,24.699,25.852,24.733,25.282,24.134,25.963,24.953,25.032,25.867,23.587,24.243,23.925,22.2,22.376,24.428,23.402,23.502,24.419,24.393,23.517,23.807,24.635,23.73,24.569
23.58,24.163,25.055,25.701,23.914,24.498,23.901,25.506,25.297,24.958,25.192,25.117,25.246,25.173,25.051,24.806,24.495,25.485,25.122,23.859,24.452,24.908,25.326,25.234,25.095,25.631,25.202,24.627,25.741,25.212,24.745,24.299,24.135,23.411,22.733,22.257,24.676,24.297,24.238,24.557,25.536,23.688,24.659,24.436,23.884,23.933
23.59,25.208,25.207,25.078,25.181,25.572,26.254,24.715,25.287,24.93,25.141,24.111,24.513,25.911,25.034,24.81,24.614,23.547,23.896,NaN,24.549,24.86,24.602,25.527,23.986,25.783,24.937,24.665,26.474,24.688,25.12,23.513,NaN,24.446,21.417,22.467,24.143,23.474,24.457,23.987,24.206,23.771,24.369,23.65,23.603,22.536
23.6,24.169,24.414,24.978,24.748,25.108,23.239,25.229,24.681,24.156,23.764,23.766,25.19,25.684,24.975,25.421,25.065,24.764,26.51,24.538,23.793,25.317,23.762,23.724,24.614,25.182,25.125,25.57,25.207,24.052,24.571,23.371,23.698,24.062,21.203,23.94,23.901,22.94,24.017,23.366,24.779,24.475,24.486,24.433,24.58,23.356
23.61,23.187,23.687,24.509,24.952,24.491,25.674,25.466,24.702,25.839,NaN,25.276,25.167,24.785,24.933,25.084,25.116,24.393,25.58,25.8,24.177,24.681,25.135,25.329,23.568,24.682,24.959,25.408,25.687,24.059,23.666,23.403,24.768,23.611,21.575,23.735,25.012,22.443,23.913,22.926,24.718,24.343,23.768,24.569,24.554,23.903
23.62,25.119,25.96,25.52,24.261,26.06,24.431,25.179,24.803,25.195,24.116,24.96,24.124,24.416,24.3,25.301,NaN,25.337,24.382,25.405,23.954,24.67,24.749,26.363,24.854,25.424,25.554,24.748,23.707,25.607,NaN,24.497,24.252,24.602,22.954,23.352,24.746,23.387,24.419,24.241,22.891,23.25,23.875,24.045,24.142,23.824
23.63,24.664,25.197,25.01,25.177,25.013,24.177,25.944,NaN,25.391,24.301,24.311,25.439,25.012,25.058,24.341,25.788,24.237,25.938,26.182,24.213,25.125,24.107,25.711,24.55,23.92,23.64,25.497,25.454,23.596,25.122,23.905,24.009,23.486,23.015,22.946,24.505,23.331,24.287,23.667,24.857,23.065,23.761,24.043,24.459,24.003
23.64,23.494,25.315,25.159,24.367,25.477,25.721,24.89,23.991,24.408,24.09,24.505,24.559,24.986,25.229,24.425,26.009,25.404,24.434,25.544,24.004,24.778,24.222,25.833,25.066,25.435,24.327,25.88,24.812,25.463,25.183,24.363,24.045,23.918,22.063,22.491,24.384,22.412,24.597,23.16,24.485,23.411,25.087,23.534,22.917,23.803
23.65,24.471,24.577,24.501,24.543,25.816,25.075,24.344,NaN,24.911,26.229,24.123,24.491,25.604,24.098,25.26,25.282,25.626,24.888,NaN,24.976,25.167,25.307,25.662,24.709,23.51,23.816,24.83,25.203,24.553,25.377,23.577,24.101,23.88,22.303,23.667,23.793,22.935,24.94,24.264,24.347,24.571,23.354,24.08,23.429,23.781
23.66,24.474,25.338,25.024,24.244,25.772,24.802,25.271,24.606,25.454,25.774,25.088,24.799,25.106,24.266,25.397,23.194,24.612,25.144,25.35,24.471,26.024,23.993,25.758,24.09,25.475,24.417,26.447,23.585,24.633,24.626,24.535,NaN,24.101,21.607,23.518,24.04,23.356,24.587,24.874,23.897,22.911,24.682,23.042,24.085,24.884
23.67,25.141,24.37,24.061,24.539,26.049,25.636,24.694,25.224,24.277,25.05,25.028,25.14,24.36,24.109,24.77,25.11,25.684,25.04,25.554,23.574,26.118,24.214,25.109,24.096,25.413,25.385,26.04,25.615,25.336,24.815,23.37,22.857,NaN,22.419,NaN,23.137,22.465,24.288,24.206,24.657,23.628,24.418,23.322,24.02,23.281
23.68,24.405,24.051,24.742,NaN,25.422,24.86,25.274,24.807,25.209,24.193,24.711,25.423,23.526,24.93,24.045,24.917,24.711,24.852,24.939,25.538,25.523,24.765,25.335,23.985,24.664,24.867,25.616,24.348,25.264,24.902,23.956,22.901,23.237,21.018,23.922,24.041,23.743,23.87,24.123,24.003,25.018,25.002,23.64,24.381,24.225
23.69,24.943,24.444,23.955,25.039,25.148,24.305,25.488,23.571,24.304,25.361,24.679,25.487,24.553,24.233,23.799,NaN,25.538,25.627,25.535,24.24,25.506,24.554,25.482,24.885,24.303,24.144,24.745,24.843,25.476,25.007,22.981,23.791,23.207,NaN,23.974,23.225,23.521,25.363,24.751,22.884,23.336,25.303,23.83,23.117,24.336
23.7,25.032,24.414,24.117,24.294,25.303,24.958,24.47,24.466,24.428,25.222,24.931,25.2,22.772,26.123,23.493,25.398,25.75,25.465,24.824,23.702,25.519,24.278,25.803,24.756,25.563,24.359,25.686,25.194,24.696,NaN,23.656,23.22,NaN,21.892,23.812,22.773,23.667,23.555,23.796,23.54,24.966,23.895,24.395,23.951,22.957
23.71,24.478,25.343,24.998,23.9,25.211,24.415,24.452,24.245,23.62,25.396,23.992,25.44,24.748,24.622,24.99,25.135,25.068,25.703,25.487,24.975,24.731,NaN,24.622,24.843,24.829,24.957,26.442,25.086,25.52,23.652,22.616,25.142,22.751,22.16,23.722,23.185,23.122,24.188,24.689,24.2,23.26,24.023,23.607,24.856,24.429
